,0,1
Customer 0,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",4
Customer 1,"['N3', 'N6', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A3', 'SURVEY']",3
Customer 2,"['N3', 'N6', 'N15', 'N16', 'N17', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",6
Customer 3,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",2
Customer 4,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",2
Customer 5,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",2
Customer 6,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",2
Customer 7,"['N3', 'N5', 'N15', 'N16', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",4
Customer 8,"['N3', 'N14', 'N7', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",3
Customer 9,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",2
Customer 10,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",1
Customer 11,"['N3', 'N6', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",2
Customer 12,"['N3', 'N6', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",3
Customer 13,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",2
Customer 14,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A3', 'SURVEY']",1
Customer 15,"['N3', 'N14', 'N7', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",3
Customer 16,"['N3', 'N6', 'N15', 'N16', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",4
Customer 17,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",2
Customer 18,"['N3', 'N5', 'N15', 'N16', 'N17', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",5
Customer 19,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",3
Customer 20,"['N3', 'N6', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",4
Customer 21,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",2
Customer 22,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",1
Customer 23,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A3', 'SURVEY']",2
Customer 24,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",1
Customer 25,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",2
Customer 26,"['N3', 'N6', 'N17', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",5
Customer 27,"['N3', 'N6', 'N17', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",5
Customer 28,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",2
Customer 29,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",4
Customer 30,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",3
Customer 31,"['N3', 'N14', 'N7', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",3
Customer 32,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",4
Customer 33,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",3
Customer 34,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A3', 'SURVEY']",1
Customer 35,"['N3', 'N14', 'N7', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",3
Customer 36,"['N3', 'N14', 'N7', 'N12', 'IVREND', 'CLE', 'A3', 'SURVEY']",2
Customer 37,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",0
Customer 38,"['N3', 'N6', 'N15', 'N16', 'N17', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",5
Customer 39,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",4
Customer 40,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",4
Customer 41,"['N3', 'N14', 'N7', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",3
Customer 42,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",4
Customer 43,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",3
Customer 44,"['N3', 'N6', 'N15', 'N16', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",4
Customer 45,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",1
Customer 46,"['N3', 'N14', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",4
Customer 47,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A3', 'SURVEY']",1
Customer 48,"['N3', 'N6', 'N15', 'N16', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",5
Customer 49,"['N3', 'N6', 'N15', 'N16', 'N17', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",5
Customer 50,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",3
Customer 51,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",2
Customer 52,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",3
Customer 53,"['N3', 'N14', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",4
Customer 54,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",3
Customer 55,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",2
Customer 56,"['N3', 'N14', 'N7', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",4
Customer 57,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",2
Customer 58,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",2
Customer 59,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",2
Customer 60,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",2
Customer 61,"['N3', 'N14', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",3
Customer 62,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",2
Customer 63,"['N3', 'N14', 'N7', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",3
Customer 64,"['N3', 'N6', 'N17', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",4
