,0,1
Customer 0,"['N3', 'N5', 'N15', 'N16', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",4
Customer 1,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",2
Customer 2,"['N3', 'N6', 'N15', 'N16', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",6
Customer 3,"['N3', 'N14', 'N7', 'N12', 'IVREND', 'CLE', 'A3', 'SURVEY']",2
Customer 4,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",2
Customer 5,"['N3', 'N5', 'N15', 'N16', 'N17', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",5
Customer 6,"['N3', 'N6', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",3
Customer 7,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",1
Customer 8,"['N3', 'N14', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",3
Customer 9,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",1
Customer 10,"['N3', 'N6', 'N15', 'N16', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",4
Customer 11,"['N3', 'N14', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",3
Customer 12,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",2
Customer 13,"['N3', 'N6', 'N17', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A4', 'SURVEY']",5
Customer 14,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",3
Customer 15,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A3', 'SURVEY']",3
Customer 16,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",2
Customer 17,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",1
Customer 18,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",3
Customer 19,"['N3', 'N5', 'N15', 'N16', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",4
Customer 20,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A3', 'SURVEY']",2
Customer 21,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",4
Customer 22,"['N3', 'N6', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",3
Customer 23,"['N2', 'N4', 'N11', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",3
Customer 24,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",0
Customer 25,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",3
Customer 26,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",2
Customer 27,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",4
Customer 28,"['N3', 'N14', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",3
Customer 29,"['N3', 'N5', 'N15', 'N16', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",4
Customer 30,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",2
Customer 31,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",3
Customer 32,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",3
Customer 33,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A3', 'SURVEY']",2
Customer 34,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",2
Customer 35,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",2
Customer 36,"['N2', 'N9', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",2
Customer 37,"['N3', 'N14', 'N7', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",3
Customer 38,"['N3', 'N6', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A8', 'SURVEY']",4
Customer 39,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A7', 'SURVEY']",3
Customer 40,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A1', 'SURVEY']",3
Customer 41,"['N2', 'N4', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",3
Customer 42,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A6', 'SURVEY']",1
Customer 43,"['N3', 'N6', 'N15', 'N16', 'N17', 'N7', 'N13', 'N12', 'IVREND', 'CLE', 'A5', 'SURVEY']",5
Customer 44,"['N3', 'N5', 'N9', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",2
Customer 45,"['N3', 'N5', 'N15', 'N16', 'N17', 'N7', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",5
Customer 46,"['N2', 'N8', 'N10', 'N11', 'N12', 'IVREND', 'CLE', 'A2', 'SURVEY']",4
